Rank	Player	Country	Min rating	Med rating	Max rating
595	Dr.Cranberry	Japan	0.93	0.95	0.97
596	こけし	Japan	0.93	0.98	1.02
597	のりや	Japan	0.93	1.47	2.33
598	tu-na🐟　とぅーな	Japan	0.93	1.00	1.07
599	tab	Japan	0.92	1.04	1.18
600	lightnovel	Japan	0.92	0.93	0.94
601	つきひめ	Japan	0.92	1.16	1.47
602	AIFU	Japan	0.92	1.48	2.38
603	カカオkaqao	Japan	0.92	0.94	0.96
604	こば	Japan	0.92	1.03	1.16
605	遠藤	Japan	0.92	1.08	1.28
606	れーとはいふ	Japan	0.91	0.97	1.04
607	ふぇるみうむ	Japan	0.91	1.25	1.70
608	はつにうむ	Japan	0.91	1.47	2.37
609	冰產	Taiwan	0.91	0.94	0.97
610	はすた	Japan	0.91	0.98	1.05
611	りぃ＠	Japan	0.91	1.00	1.10
612	むぅん	Japan	0.91	1.41	2.21
613	マーサ	Japan	0.91	0.94	0.98
614	ちーたん	Japan	0.90	0.96	1.02
615	あやと	Japan	0.90	0.95	1.00
616	やまもと	Japan	0.90	1.30	1.86
617	ムナ	Japan	0.90	1.12	1.38
618	シシン	Japan	0.90	1.19	1.57
619	Hiari	Japan	0.90	0.96	1.02
620	ばなオリ	Japan	0.90	1.62	2.92
621	なおげ	Japan	0.90	1.03	1.18
622	うぃにしえ	Japan	0.90	0.95	1.00
623	ゆずは	Japan	0.90	0.96	1.03
624	まんとら	Japan	0.89	0.96	1.03
625	ちゃき	Japan	0.89	0.96	1.04
626	シュウ	Japan	0.89	1.16	1.50
627	じ	Japan	0.89	1.17	1.54
628	nagoyan55	Japan	0.89	1.19	1.60
629	たこす	Japan	0.88	0.99	1.10
630	音	Japan	0.88	1.09	1.35
631	鳳凰院ばん狂真	Japan	0.88	1.11	1.40
632	とろまき	Japan	0.87	0.98	1.11
633	りあ	Japan	0.87	0.88	0.90
634	やまごん	Japan	0.87	0.94	1.02
635	かまるど	Japan	0.86	1.04	1.24
636	いおな	Japan	0.86	0.90	0.94
637	sa_lza	Japan	0.86	1.60	2.98
638	PokeDialga	Taiwan	0.86	1.00	1.17
639	Suzuna	Japan	0.86	0.94	1.03
640	ケーケー	Japan	0.86	1.02	1.21
